Equipo,Fecha,hora,es_local,resultado_final,xpts_avg5,ppda_avg5,corners_avg5,faltas_avg5,amarillas_avg5,rojas_avg5,diff_xg_avg5,diff_tiros_puerta_avg5,diff_tiros_avg5,diff_pases_area_avg5,diff_xpts_avg5,diff_corners_avg5,diff_faltas_avg5,diff_amarillas_avg5,diff_ratio_presion_avg5,diff_dominio_ofensivo_avg5,diff_agresividad_ofensiva_avg5,diff_disciplina_avg5,xpts_ewma5,ppda_ewma5,corners_ewma5,faltas_ewma5,amarillas_ewma5,rojas_ewma5,diff_xg_ewma5,diff_tiros_puerta_ewma5,diff_tiros_ewma5,diff_pases_area_ewma5,diff_xpts_ewma5,diff_corners_ewma5,diff_faltas_ewma5,diff_amarillas_ewma5,diff_ratio_presion_ewma5,diff_dominio_ofensivo_ewma5,diff_agresividad_ofensiva_ewma5,diff_disciplina_ewma5,club_id,game_id,xi_market_value,xi_average_age,xi_average_height,xi_total_caps,formation,manager_name,ocupacion_estadio
SD Huesca,2021-05-22,16:00:00,1,D,1.17428,8.02830919080919,3.2,14.2,1.8,0.2,-0.0816852,0.4,3.6,-1.4,-0.29778,0.8,-1.0,-0.6,1.5009353459905244,2.1183147999999976,4.4,0.2,1.145396600232484,9.277387664089211,3.874478813694836,14.279862824989674,2.1596445494860355,0.3333630349293651,-0.140423263035089,-0.0317157560400889,2.1903529652699443,-1.693755344737084,-0.4019449642487845,1.194462374861321,-0.0794015226659854,0.3264698467060996,0.2909432967024722,0.3561743574977725,3.384815340131266,-0.9894697005142266,5358,3451477,29400000.0,27.21846804803684,180.3636363636364,61.0,3-5-2,pacheta,0.0
Eibar,2021-05-22,16:00:00,1,A,1.93766,8.707079365079366,5.8,10.0,2.0,0.0,0.7330430000000001,1.8,6.2,5.0,1.16124,2.2,-1.2,1.0,5.7024291819291815,11.933043,8.4,-1.0,1.86330365302248,9.933868720922256,6.62432798738722,9.70524673849168,1.4910439003177849,6.792262294948665e-06,0.6208894598710888,1.2817178900756774,5.807393796801151,3.328396451564086,0.9871884414173112,3.1252255185429854,0.8358317187031878,0.7303862473883653,7.697515252237547,9.756679708236325,8.932619315344136,-0.7188364822393395,1533,3451474,35750000.0,29.450314230601705,180.45454545454547,51.0,4-4-2 DOUBLE 6,josé luis mendilibar,0.0
Granada,2022-05-22,18:00:00,1,D,1.3046,9.18342456826328,4.4,14.6,2.6,0.0,-0.0626951999999997,0.2,-2.0,-3.2,-0.1047,-1.8,3.6,0.2,-0.1608596331983434,-5.262695200000003,-3.8,0.2,1.2871108631146837,9.510993705303823,5.631623168101042,15.312101217711414,2.45227869582836,0.0607753899364792,-0.2173630805724802,-0.1087463104906625,0.5234206909439327,-2.177096401798524,-0.1627709132317361,0.1357637220080942,4.286925125112495,0.6028705734880362,-0.4046647278885766,-1.871038791427073,0.659184412952027,-0.2396243306146662,16795,3611511,49100000.0,28.930869267624917,182.54545454545453,15.0,4-2-3-1,aitor karanka,0.9283719486967316
Almeria,2023-06-04,18:00:00,0,D,1.47694,15.956427353550117,3.2,9.0,0.8,0.2,0.03215038,0.8,-1.4,-1.8,0.1410600000000001,-4.2,-4.4,-0.8,-8.34111886493728,-3.167849619999997,-5.6,0.4,1.446827647991404,16.38899298677207,2.6064065807926045,9.815065300975249,0.8067540440091798,0.2222547602862755,-0.0206557904738293,1.042177814419702,1.0236216913204887,-1.2801031126244506,0.0776914768905102,-3.845976829496658,-5.206809148715752,-1.2935851003696044,-8.620450801184075,-0.2771372117777897,-2.82235513817617,0.9078477314006944,3302,3844556,46700000.0,26.349075975359344,181.63636363636363,50.0,4-3-3 ATTACKING,rubi,0.7753532267743167
Cadiz,2023-06-04,18:00:00,0,D,1.28044,12.03723620465556,4.4,13.0,4.0,0.0,-0.6357220600000003,-0.8,0.4,-5.8,-0.2920199999999994,0.2,-1.0,0.4,-2.245521788076916,-6.03572206,0.6,0.0,1.6031917264590507,10.286061029756814,4.501041332346762,13.545514801420463,4.861333563691163,0.0027588531586623,0.0485842721815024,-0.3652278650638374,1.986038110832792,-3.074268909078661,0.3915737548649834,0.194042346898386,0.5306466891151553,1.4173343800740823,-1.3069254026057733,-1.039646526064366,2.1800804577311776,-1.025137906603998,2687,3844555,33300000.0,29.924460207827767,179.54545454545453,100.0,4-4-2,sergio,0.7862425334218262
Real Valladolid,2025-05-24,16:30:00,0,H,1.01354,20.2636583445794,5.8,9.6,0.8,0.0,-0.4965725999999997,-1.0,-6.0,-4.2,-0.73704,-0.2,-6.6,-0.6,-13.840330768812796,-10.6965726,-6.2,0.6,1.0315505784076264,19.547311083764644,5.650721578910122,9.89835209942526,0.732211557120357,0.0226868632380615,-0.4579518129798348,-1.523239046062645,-5.265389478019257,-2.0349748331788504,-0.6823461069878012,-0.4917536419315813,-8.601893690514931,-0.6206503418568766,-12.374332133464984,-7.758316124177943,-5.757143119950839,0.5829991727050654,366,4407568,20850000.0,26.251011138074794,181.54545454545453,107.0,4-4-2,álvaro rubio,0.417227894851184
Leganes,2025-05-24,16:30:00,1,H,1.07744,10.980761904761906,3.4,13.0,2.8,0.2,-0.4069928000000001,-1.4,-2.2,-1.8,-0.57312,-3.2,-1.6,0.6,-0.0731607517780251,-4.4069928,-5.4,-1.0,1.2395736150209538,11.270727198799404,3.3987364723166413,12.577180258820777,2.207498963937364,0.0688439049956798,-0.2208299245754968,-0.7010584332766907,-0.843635970817094,-0.9334317294951276,-0.2475087004080723,-3.381650366747783,-0.5828176266864982,0.2540841502819201,0.0775075462006547,-1.997897624887719,-4.225286337564877,-0.3917321805243173,1244,4407568,21200000.0,27.55995270985004,181.9090909090909,161.0,4-2-3-1,borja jiménez,0.7989876577451116
Las Palmas,2025-05-24,16:30:00,0,H,0.8907,9.789525171624714,6.2,11.8,2.8,0.0,-0.5702065999999999,-1.6,0.4,-2.0,-0.92376,1.8,-0.6,0.2,2.699803013703471,-2.170206599999999,2.2,-0.2,0.9199505912096568,9.33298452038367,6.165170570630199,12.804338256318212,2.899876572211391,0.0104799826423222,-0.4893318303198352,-1.2816218087626283,0.5145051612013152,-1.884424972464938,-0.8392075142419906,2.1486177382618834,-0.6332958017389216,0.0913993221308325,2.6375988206082046,-1.8592516415834568,2.663122899463199,-0.0537256953493165,472,4407569,42000000.0,25.75546014560388,181.3,68.0,4-2-3-1,diego martínez,1.0
Athletic Club,2026-03-14,13:00:00,0,H,1.9296,9.313609208286628,3.4,16.6,2.6,0.0,0.9317922,1.8,6.8,2.8,1.0781400000000003,0.4,7.8,0.8,0.9732371969421324,10.531792200000002,7.2,-0.4,1.6743670276252796,10.605375687792804,3.517209275125827,14.920737234439832,2.628806838580366,0.0402246249846731,0.4990612805240344,0.5356563464003684,4.310752110359503,2.646550127419256,0.601991661652045,0.0751288179729896,5.669641093780921,0.886110084974707,-1.1104001720712435,7.456363518302793,4.385880928332493,-0.7467793499475944,621,4645928,162700000.0,29.10161159853152,181.72727272727272,158.0,4-2-3-1,ernesto valverde,0.1653436919439284
Valencia,2026-03-14,17:30:00,0,H,1.4155799999999998,11.484488715394624,5.2,11.8,2.2,0.0,0.0607780000000001,-0.4,0.6,1.0,0.0967199999999997,0.8,-0.4,-0.8,0.8409398560339459,1.6607780000000023,1.4,2.0,1.7118934053305428,10.47293740884947,6.167672166751848,11.882085400250704,2.2055064977973515,0.0195290223247892,0.4090027270288731,0.9908987882220462,3.084042183077797,3.402894780871831,0.6681035471840544,2.3717314500120543,-1.257529480627006,-1.4074852393837611,1.2940429966552047,6.895939690978501,5.455773633089851,2.900026513647476,1049,4645927,66500000.0,28.405699707547758,181.63636363636363,219.0,4-2-3-1,carlos corberán,0.4617843414930204
Real Oviedo,2026-03-14,17:30:00,1,H,0.96992,11.458993271221534,3.6,11.8,1.8,0.0,-0.5850899999999999,-2.2,-7.2,-2.4,-0.81084,-3.0,-1.8,-0.2,-3.359609517720132,-10.18509,-10.2,0.2,0.9434282102900102,12.361021130961898,2.875391021812029,12.459519400442495,1.9152975964126568,0.018888653011069,-0.6590848947252038,-2.8443810620047403,-9.922600561363486,-3.073032254012809,-0.872674131712158,-4.478153121466287,-1.1601130140864075,0.0743052519169212,-4.566939941009738,-13.6547177101015,-14.400753682829771,-0.0534389274520821,2497,4645927,27900000.0,28.021653910770954,182.0909090909091,81.0,4-2-3-1,guillermo almada,0.7483934426229508
Sevilla,2026-03-15,15:15:00,0,H,0.9962,10.74302536231884,3.2,15.6,2.6,0.4,-0.5081745999999999,0.0,-1.0,0.4,-0.6972600000000002,-0.4,4.0,0.6,3.10941664012316,-1.1081745999999963,-1.4,-1.0,1.2707465586196296,10.361933734177818,4.13905969757829,14.635899401027014,2.087937767190543,0.2050327134272246,-0.185771323937181,0.5390197228394836,1.1021006816801382,0.8843559407646442,-0.1584578421176696,0.9351623709941064,2.285776539395578,-0.1707712234721446,2.3112058371084343,1.8006852985076016,2.037263052674245,0.0649134296018625,368,4645925,71800000.0,27.68365378632319,184.3636363636364,429.0,4-2-3-1,matías almeyda,1.0
Real Betis,2026-03-15,17:30:00,1,D,1.95324,33.680976082740784,4.2,9.4,2.6,0.0,0.7239428000000002,0.0,0.6,-2.2,1.17714,-0.8,-5.6,-0.6,-20.666032927751864,-0.8760571999999961,-0.2,0.6,1.8867064043307984,18.511345109489103,4.970904226738001,10.26189384855086,2.4273053167921392,0.0011418644921227,0.6256155209734269,-0.6068882052123095,1.0940635118218838,-2.135312003615833,1.0445356504086118,0.7474416518998441,-5.507311782797918,-0.607858895235238,-4.135561773127315,-0.4156329708205222,1.841505163721728,0.6480787874918026,150,4645926,94000000.0,28.987368552050278,180.9090909090909,87.0,4-2-3-1,manuel pellegrini,0.8384142857142857
