,FTR,date,Time,game_id,HTR,team,club_id,manager,formation,xi_market_value,xi_average_age,xi_average_height,xi_total_caps,is_home,shots_last_5,shots_target_last_5,corners_last_5,fouls_last_5,yellow_cards_last_5,red_cards_last_5,xp_last_5,xg_last_5,np_xg_last_5,ppda_last_5,deep_completions_last_5,xi_market_value_last_5,xi_average_age_last_5,xi_average_height_last_5,xi_total_caps_last_5,shots_ewm_5,shots_target_ewm_5,corners_ewm_5,fouls_ewm_5,yellow_cards_ewm_5,red_cards_ewm_5,xp_ewm_5,xg_ewm_5,np_xg_ewm_5,ppda_ewm_5,deep_completions_ewm_5,xi_market_value_ewm_5,xi_average_age_ewm_5,xi_average_height_ewm_5,xi_total_caps_ewm_5,position_last
6,H,2019-08-18,16:00,3208623.0,D,Alaves,1108.0,Asier Garitano,4-1-4-1,61000000.0,27.71526351813826,182.45454545454547,80.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,D,2019-08-25,16:00,3208639.0,D,Alaves,1108.0,Asier Garitano,4-1-4-1,46800000.0,27.63088793478937,180.36363636363637,21.0,1,9.0,2.0,2.0,18.0,2.0,0.0,1.1599,0.68416,0.68416,13.15,3.0,61000000.0,27.71526351813826,182.45454545454547,80.0,9.0,2.0,2.0,18.0,2.0,0.0,1.1599,0.68416,0.68416,13.15,3.0,61000000.0,27.71526351813826,182.45454545454547,80.0,7.0
25,D,2019-08-31,18:00,3208653.0,D,Alaves,1108.0,Asier Garitano,5-4-1,41800000.0,27.481052828075416,181.8181818181818,23.0,0,9.5,2.0,2.5,15.5,2.5,0.0,1.4919,0.6800395,0.6800395,14.000925925925927,4.0,53900000.0,27.673075726463814,181.40909090909093,50.5,9.6,2.0,2.6,15.0,2.6,0.0,1.5583,0.6792154,0.6792154,14.171111111111111,4.2,52480000.0,27.664638168128928,181.2,44.6,7.0
36,A,2019-09-15,13:00,3208659.0,A,Alaves,1108.0,Asier Garitano,4-4-2 double 6,60500000.0,28.044054508120215,181.36363636363637,20.0,1,8.0,1.6666666666666667,2.3333333333333335,16.0,2.0,0.0,1.4755,0.7907829999999999,0.7907829999999999,13.208950617283952,3.6666666666666665,49866666.666666664,27.609068093667684,181.54545454545453,41.333333333333336,7.421052631578947,1.526315789473684,2.31578947368421,15.94736842105263,1.8421052631578947,0.0,1.5035421052631577,0.8369781052631577,0.8369781052631577,12.965058479532162,3.631578947368421,47421052.631578945,27.57767669126147,181.49282296650716,34.368421052631575,7.0
49,H,2019-09-22,17:30,3208669.0,H,Alaves,1108.0,Asier Garitano,4-1-4-1,55300000.0,28.79223445958559,181.36363636363637,20.0,0,7.75,1.25,2.25,15.25,2.75,0.0,1.38125,0.7865025,0.7865025,12.69837962962963,3.0,52525000.0,27.717814697280815,181.5,36.0,7.246153846153847,0.8923076923076924,2.1846153846153844,14.723076923076922,3.1538461538461537,0.0,1.335293846153846,0.8106771538461539,0.8106771538461539,12.218034188034189,2.5384615384615383,52853846.15384615,27.771402861341258,181.43916083916085,28.4,11.0
59,H,2019-09-26,20:00,3208686.0,H,Alaves,1108.0,Asier Garitano,4-1-4-1,54600000.0,25.92346462572335,181.27272727272728,35.0,0,7.2,1.2,2.2,16.0,3.0,0.0,1.16548,0.7336682,0.7336682,12.26537037037037,2.6,53080000.0,27.93269864974177,181.47272727272727,32.8,6.383886255924171,0.9336492890995262,2.1137440758293837,16.364928909952607,3.4786729857819902,0.0,0.9387800947867297,0.6999850284360191,0.6999850284360191,11.571300684570826,1.947867298578199,53792890.995260656,28.163286081520365,181.41016803102113,25.175355450236964,15.0
65,H,2019-09-29,15:00,3208692.0,D,Alaves,1108.0,Asier Garitano,4-4-2,39500000.0,27.883765789309937,181.36363636363637,51.0,1,6.4,0.8,2.4,16.4,3.4,0.2,0.93704,0.6360232000000001,0.6360232000000001,12.162643097643098,2.2,51800000.0,27.57433887125879,181.23636363636365,23.8,5.878195488721806,0.5924812030075189,2.4375939849624064,17.69323308270677,3.6691729323308273,0.3654135338345864,0.6022049624060152,0.5157983263157896,0.5157983263157896,11.960489101541732,1.6015037593984964,54087819.54887217,27.344825008199052,181.35994531784007,28.76541353383459,17.0
73,H,2019-10-05,17:30,3208711.0,H,Alaves,1108.0,Asier Garitano,4-4-2 double 6,44800000.0,27.91960674506876,183.0,35.0,0,6.6,1.6,2.6,17.0,3.2,0.2,1.122,0.8690694000000001,0.7204914,10.755909090909089,2.4,50340000.0,27.6249144421629,181.43636363636364,29.8,7.691597863040312,2.507042253521127,2.990772219524041,17.093734822729484,3.078193297717339,0.23603691112190384,1.362183050024284,0.9850461991257894,0.7220220077707626,10.493882977418675,3.1588149587178243,48922923.749392904,27.535639884075614,181.36125215241293,36.63768819815445,13.0
88,H,2019-10-20,11:00,3208713.0,D,Alaves,1108.0,Asier Garitano,4-4-2 double 6,65800000.0,28.223259286914313,180.8181818181818,22.0,1,7.6,2.2,3.6,16.8,3.6,0.2,1.0660399999999999,0.9614554,0.8128774,11.41186147186147,2.8,50940000.0,27.712625225561574,181.6727272727273,32.2,8.492307692307692,3.0249008723235526,4.381443298969072,16.714353687549565,3.0510705789056307,0.1541633624107851,1.2930582236320383,1.1547177871530532,0.982928156701031,12.023873812327421,3.79746233148295,47492815.2260111,27.668825534351903,181.92968062864972,36.06962727993656,17.0
90,H,2019-10-25,20:00,3208731.0,H,Alaves,1108.0,Asier Garitano,4-4-2,65800000.0,28.23694854084998,180.8181818181818,22.0,0,8.6,3.2,4.0,18.2,3.6,0.2,1.2654400000000001,1.2233412,1.0747632,11.134083694083694,4.2,52000000.0,27.74846618132039,181.56363636363636,32.6,9.692765113974232,3.7008502425538574,4.250899796567733,17.838819049606176,3.71806374211048,0.10140316102446406,1.5676824213656047,1.4724398719941578,1.3594427805539617,11.255179634523437,5.235720619685985,53758186.84471337,27.85857254027554,181.54928609025947,31.25449898283867,12.0
