FTR,date,Time,game_id,HTR,home_team,home_club_id,home_manager,home_formation,home_xi_market_value,home_xi_average_age,home_xi_average_height,home_xi_total_caps,home_shots_last_5,home_shots_target_last_5,home_corners_last_5,home_fouls_last_5,home_yellow_cards_last_5,home_red_cards_last_5,home_xp_last_5,home_xg_last_5,home_np_xg_last_5,home_ppda_last_5,home_deep_completions_last_5,home_xi_market_value_last_5,home_xi_average_age_last_5,home_xi_average_height_last_5,home_xi_total_caps_last_5,home_shots_ewm_5,home_shots_target_ewm_5,home_corners_ewm_5,home_fouls_ewm_5,home_yellow_cards_ewm_5,home_red_cards_ewm_5,home_xp_ewm_5,home_xg_ewm_5,home_np_xg_ewm_5,home_ppda_ewm_5,home_deep_completions_ewm_5,home_xi_market_value_ewm_5,home_xi_average_age_ewm_5,home_xi_average_height_ewm_5,home_xi_total_caps_ewm_5,home_position_last,away_team,away_club_id,away_manager,away_formation,away_xi_market_value,away_xi_average_age,away_xi_average_height,away_xi_total_caps,away_shots_last_5,away_shots_target_last_5,away_corners_last_5,away_fouls_last_5,away_yellow_cards_last_5,away_red_cards_last_5,away_xp_last_5,away_xg_last_5,away_np_xg_last_5,away_ppda_last_5,away_deep_completions_last_5,away_xi_market_value_last_5,away_xi_average_age_last_5,away_xi_average_height_last_5,away_xi_total_caps_last_5,away_shots_ewm_5,away_shots_target_ewm_5,away_corners_ewm_5,away_fouls_ewm_5,away_yellow_cards_ewm_5,away_red_cards_ewm_5,away_xp_ewm_5,away_xg_ewm_5,away_np_xg_ewm_5,away_ppda_ewm_5,away_deep_completions_ewm_5,away_xi_market_value_ewm_5,away_xi_average_age_ewm_5,away_xi_average_height_ewm_5,away_xi_total_caps_ewm_5,away_position_last,shots_last_5_diff,shots_target_last_5_diff,corners_last_5_diff,fouls_last_5_diff,yellow_cards_last_5_diff,red_cards_last_5_diff,xp_last_5_diff,xg_last_5_diff,np_xg_last_5_diff,ppda_last_5_diff,deep_completions_last_5_diff,shots_ewm_5_diff,ppda_ewm_5_diff,shots_target_ewm_5_diff,corners_ewm_5_diff,fouls_ewm_5_diff,yellow_cards_ewm_5_diff,red_cards_ewm_5_diff,xp_ewm_5_diff,xg_ewm_5_diff,np_xg_ewm_5_diff,deep_completions_ewm_5_diff,table_position_diff,table_position_abs_diff,shots_last_5_abs_diff,shots_target_last_5_abs_diff,corners_last_5_abs_diff,fouls_last_5_abs_diff,yellow_cards_last_5_abs_diff,red_cards_last_5_abs_diff,xp_last_5_abs_diff,xg_last_5_abs_diff,np_xg_last_5_abs_diff,ppda_last_5_abs_diff,deep_completions_last_5_abs_diff,xg_ewm_5_abs_diff,xp_ewm_5_abs_diff,shots_ewm_5_abs_diff,ppda_ewm_5_abs_diff,np_xg_ewm_5_abs_diff,deep_completions_ewm_5_abs_diff,corners_ewm_5_abs_diff,fouls_ewm_5_abs_diff,yellow_cards_ewm_5_abs_diff,red_cards_ewm_5_abs_diff,month_sin,month_cos,dow_sin,dow_cos,hour_sin,hour_cos,home_team_enc,away_team_enc,home_manager_enc,away_manager_enc,home_formation_enc,away_formation_enc,home_club_id_enc,away_club_id_enc,FTR_enc
H,2025-08-24,16:00,4645519.0,H,Osasuna,331.0,Alessio Lisci,5-4-1,62500000.0,28.955261029183,183.1818181818182,71.0,12.4,3.2,5.4,10.6,1.2,0.2,1.6126200000000002,1.4617948,1.4617948,13.756950067476385,3.4,75940000.0,28.80950780909713,182.6909090909091,64.4,10.598553676516755,2.7023299337374684,4.6403152380615085,11.046580180559262,1.069831233692357,0.3333333419659657,1.2439798776208442,1.1992745247012337,1.1483830893938283,14.587783733986209,3.514956606294809,73751882.4314389,28.812782260415677,183.2999666301746,65.00877004200959,16.0,Valencia,1049.0,Carlos Corberán,4-4-2,46000000.0,27.230415033289777,182.72727272727272,86.0,10.6,3.0,4.2,10.8,2.4,0.0,1.2859399999999999,1.2362268,0.9389168,12.349047619047619,4.6,129200000.0,25.681388837035655,184.21818181818182,123.4,12.031366783775445,2.725024004401579,4.963512285558285,9.089997780010583,1.9557710057015092,2.662895614693799e-06,1.320733518875417,1.179421432072364,1.0815000021533765,14.293337550005077,5.357551017770397,113348567.82310773,25.78820226967821,184.0634720976868,118.78676226249308,10.0,1.8000000000000007,0.20000000000000018,1.2000000000000002,-0.20000000000000107,-1.2,0.2,0.3266800000000003,0.225568,0.5228780000000001,-1.407902448428766,-1.1999999999999997,-1.4328131072586903,-0.2944461839811314,-0.022694070664110555,-0.3231970474967767,1.9565824005486796,-0.8859397720091522,0.333330679070351,-0.07675364125457285,0.019853092628869806,0.06688308724045178,-1.8425944114755874,-6.0,6.0,1.8000000000000007,0.20000000000000018,1.2000000000000002,0.20000000000000107,1.2,0.2,0.3266800000000003,0.225568,0.5228780000000001,1.407902448428766,1.1999999999999997,0.019853092628869806,0.07675364125457285,1.4328131072586903,0.2944461839811314,0.06688308724045178,1.8425944114755874,0.3231970474967767,1.9565824005486796,0.8859397720091522,0.333330679070351,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,-0.8660254037844384,-0.5000000000000004,17,26,4,11,24,18,15,0,2
A,2025-08-24,20:30,4645520.0,A,Real Oviedo,2497.0,Veljko Paunovic,3-4-3,6300000.0,29.0113620807666,184.6,191.0,5.0,4.0,1.0,8.0,2.0,1.0,0.2935,0.85578,0.112502,40.42857142857143,0.0,1800000.0,28.0394250513347,182.8,160.0,5.0,4.0,1.0,8.0,2.0,1.0,0.2935,0.85578,0.112502,40.42857142857143,0.0,1800000.0,28.0394250513347,182.8,160.0,19.0,Real Madrid,418.0,Xabi Alonso,4-2-3-1,180000000.0,25.877418953394315,183.9090909090909,539.0,19.6,7.4,10.6,9.0,1.0,0.0,2.20132,2.4063619999999997,1.9316489999999997,9.729000852514918,10.2,590000000.0,26.10147470599216,181.21818181818185,513.8,18.564829088239176,6.796600859636013,9.309606427119451,8.297971742104714,0.8943594593227052,0.013867696926073592,2.336799252494128,2.1777745627089455,1.6728417360323007,9.474805590104674,10.339069210089155,524782619.2774377,26.171724288721606,181.40338152965305,513.6106100312271,8.0,-14.600000000000001,-3.4000000000000004,-9.6,-1.0,1.0,1.0,-1.90782,-1.5505819999999997,-1.8191469999999996,-30.699570576056512,-10.2,-13.564829088239176,-30.953765838466758,-2.796600859636013,-8.309606427119451,-0.2979717421047141,1.1056405406772947,0.9861323030739264,-2.043299252494128,-1.3219945627089456,-1.5603397360323006,-10.339069210089155,-11.0,11.0,14.600000000000001,3.4000000000000004,9.6,1.0,1.0,1.0,1.90782,1.5505819999999997,1.8191469999999996,30.699570576056512,10.2,1.3219945627089456,2.043299252494128,13.564829088239176,30.953765838466758,1.5603397360323006,10.339069210089155,8.309606427119451,0.2979717421047141,1.1056405406772947,0.9861323030739264,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,21,20,76,79,3,10,12,21,0
D,2025-08-24,18:30,4645524.0,A,Real Sociedad,681.0,Sergio Francisco,4-1-4-1,133000000.0,24.645883890237073,179.9090909090909,182.0,11.6,3.8,7.4,11.6,1.4,0.0,1.1557000000000002,1.5436750000000001,1.395019,16.169927849927852,3.4,161060000.0,25.770294318959618,180.1818181818182,184.2,11.673903361960237,3.4896877456663327,6.899224650238217,11.263284950492993,1.4762426733137313,0.003235335383538904,1.108013095338529,1.3845038059166708,1.2598685458325274,15.244356815056852,3.1244914512247477,147005949.9880626,25.66084850820646,180.27747205287233,186.48593161935923,12.0,Espanyol,714.0,Manolo González,4-2-3-1,30200000.0,27.536805425922466,181.27272727272728,33.0,11.0,4.2,4.2,11.4,2.2,0.2,1.4547999999999999,1.3603564,1.211701,15.873612339672713,5.0,54100000.0,25.96099807105967,182.7818181818182,41.6,10.47532637437193,4.147850252583349,3.272881952252044,11.65814476542875,2.304846182454341,0.09876543613478762,1.4938135749251422,1.3219986067039506,1.1492875842966699,16.66658704616817,4.163440048795441,49365430.50964441,26.079837881775195,182.4280708475535,35.87049382197974,7.0,0.5999999999999996,-0.40000000000000036,3.2,0.1999999999999993,-0.8000000000000003,-0.2,-0.2990999999999997,0.18331860000000022,0.1833180000000001,-0.29631551025513936,-1.6,1.1985769875883072,1.4222302311113193,-0.6581625069170163,3.6263426979861735,-0.3948598149357565,-0.8286035091406097,-0.09553010075124872,-0.38580047958661323,0.06250519921272013,0.1105809615358575,-1.0389485975706934,-5.0,5.0,0.5999999999999996,0.40000000000000036,3.2,0.1999999999999993,0.8000000000000003,0.2,0.2990999999999997,0.18331860000000022,0.1833180000000001,0.29631551025513936,1.6,0.06250519921272013,0.38580047958661323,1.1985769875883072,1.4222302311113193,0.1105809615358575,1.0389485975706934,3.6263426979861735,0.3948598149357565,0.8286035091406097,0.09553010075124872,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,22,9,73,50,9,10,25,26,1
H,2025-08-24,18:30,4645516.0,H,Villarreal,1050.0,Marcelino,4-4-2,45000000.0,25.645199427540287,185.27272727272728,214.0,15.0,6.4,4.4,8.4,1.0,0.0,2.04204,2.085714,2.0857140000000003,19.204807473228527,11.2,120200000.0,26.128156306390387,184.0,175.2,16.360301096779367,6.901818760395277,5.585490571683887,9.289662560657925,1.0715761593304338,0.025334513034214648,1.9142098124335385,2.0432315187410626,2.042952625664242,14.95641400829409,12.649883768056194,98111443.16056204,26.258818392138092,184.36074368390163,169.01138249515176,3.0,Girona,12321.0,Míchel,4-2-3-1,90200000.0,25.156866405326365,182.45454545454547,249.0,7.6,2.6,2.8,12.4,1.0,0.2,0.6082,0.86770318,0.86770318,15.221860587924663,2.8,77120000.0,28.21853027191836,181.87272727272727,312.4,7.373749167512549,2.7856992716764486,2.583805543697003,11.347594077617513,0.7307649807268403,0.33409847304092205,0.5857282193785392,0.8536943381160951,0.851527476662861,16.40655166274762,2.7114363337722223,81947818.21749176,27.819480986690337,182.18944437575115,317.64808081926844,17.0,7.4,3.8000000000000003,1.6000000000000005,-4.0,0.0,-0.2,1.43384,1.21801082,1.2180108200000004,-3.982946885303864,8.399999999999999,8.986551929266817,1.4501376544535312,4.116119488718828,3.001685027986884,-2.057931516959588,0.34081117860359356,-0.3087639600067074,1.3284815930549994,1.1895371806249675,1.1914251490013807,9.938447434283972,14.0,14.0,7.4,3.8000000000000003,1.6000000000000005,4.0,0.0,0.2,1.43384,1.21801082,1.2180108200000004,3.982946885303864,8.399999999999999,1.1895371806249675,1.3284815930549994,8.986551929266817,1.4501376544535312,1.1914251490013807,9.938447434283972,3.001685027986884,2.057931516959588,0.34081117860359356,0.3087639600067074,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,27,11,52,56,18,10,1,3,2
H,2025-08-25,18:30,4645517.0,D,Athletic Club,621.0,Ernesto Valverde,4-2-3-1,85000000.0,27.655528591873562,182.54545454545453,138.0,10.8,2.6,5.8,13.8,0.6,0.0,1.71496,1.4545312000000001,1.3058751999999998,11.737728758169935,5.8,123020000.0,27.687387219214735,182.47272727272727,96.8,11.0348200990599,2.5440938744853336,5.7569853983661785,13.207054015196405,0.6782932433586731,3.2468053201591615e-06,1.6605124009742187,1.602295208711847,1.3416237307234635,14.746983452645347,6.83381153258831,127903550.9575622,27.7080845850823,182.5087665734363,107.1714002394795,5.0,Rayo Vallecano,367.0,Iñigo Pérez,4-2-3-1,35500000.0,29.732312861676313,178.54545454545453,91.0,17.2,5.2,7.0,12.0,2.0,0.0,1.7288999999999999,1.7180054000000002,1.5693494,10.012554112554112,5.4,40320000.0,30.611810092713586,177.92727272727274,103.0,17.048375535409644,5.4137896691173,6.24844729326982,13.290774001000154,1.8760088724184234,0.0011545547146459012,1.90495668098296,2.0320529884314262,1.773521286865168,9.105828495080223,5.596420444646483,38775794.61989567,30.386256604830436,178.22207503274805,100.42282966112218,2.0,-6.399999999999999,-2.6,-1.2000000000000002,1.8000000000000007,-1.4,0.0,-0.013939999999999841,-0.2634742000000001,-0.2634742000000001,-1.725174645615823,0.39999999999999947,-6.013555436349744,-5.641154957565124,-2.869695794631966,-0.4914618949036411,-0.08371998580374829,-1.1977156290597502,-0.001151307909325742,-0.2444442800087412,-0.4297577797195793,-0.43189755614170444,1.2373910879418268,-3.0,3.0,6.399999999999999,2.6,1.2000000000000002,1.8000000000000007,1.4,0.0,0.013939999999999841,0.2634742000000001,0.2634742000000001,1.725174645615823,0.39999999999999947,0.4297577797195793,0.2444442800087412,6.013555436349744,5.641154957565124,0.43189755614170444,1.2373910879418268,0.4914618949036411,0.08371998580374829,1.1977156290597502,0.001151307909325742,-0.8660254037844384,-0.5000000000000004,0.0,1.0,-1.0,-1.8369701987210297e-16,2,18,19,30,10,10,24,18,2
A,2025-08-25,20:30,4645515.0,D,Sevilla,368.0,Matías Almeyda,4-2-3-1,58900000.0,26.51359591811337,185.63636363636363,294.0,12.8,5.2,3.4,14.2,2.2,0.4,1.30338,1.3159972,1.1673432,12.663575252270904,6.6,86220000.0,26.353356978408318,185.3090909090909,227.8,12.967353914299323,5.0477248045293255,3.068147659569178,13.315750575702515,1.970874401778305,0.32557198754974614,1.0862635232574602,1.2040972841836048,1.1550446341240994,12.73270461999919,6.835792234155959,82070708.17595956,26.287318713361646,185.15968066756912,231.17198514347297,13.0,Getafe,3709.0,José Bordalás,5-3-2,41300000.0,27.175906913073234,183.0,121.0,9.4,2.4,3.4,13.8,2.6,0.2,1.11148,0.9487881999999999,0.9487881999999999,14.286878233815424,4.2,48780000.0,28.042013564806172,184.14545454545456,108.0,9.6282968282124,2.6244846115288065,3.163764446405562,14.08694491811641,2.328208250359453,0.30363471077042875,1.3871378517576867,1.1086605285494173,1.108277235595286,15.515184908394366,4.537265694997855,47524571.33973227,27.93099426100834,183.5120855390302,123.75603790230684,4.0,3.4000000000000004,2.8000000000000003,0.0,0.3999999999999986,-0.3999999999999999,0.2,0.19189999999999996,0.3672090000000001,0.21855500000000005,1.6233029815445192,2.3999999999999995,3.339057086086923,2.782480288395176,2.423240193000519,-0.09561678683638375,-0.7711943424138958,-0.3573338485811477,0.021937276779317394,-0.30087432850022644,0.09543675563418752,0.04676739852881351,2.298526539158104,-9.0,9.0,3.4000000000000004,2.8000000000000003,0.0,0.3999999999999986,0.3999999999999999,0.2,0.19189999999999996,0.3672090000000001,0.21855500000000005,1.6233029815445192,2.3999999999999995,0.09543675563418752,0.30087432850022644,3.339057086086923,2.782480288395176,0.04676739852881351,2.298526539158104,0.09561678683638375,0.7711943424138958,0.3573338485811477,0.021937276779317394,-0.8660254037844384,-0.5000000000000004,0.0,1.0,-0.8660254037844386,0.5000000000000001,25,10,54,39,10,23,19,20,0
D,2025-08-27,20:00,4645543.0,A,Celta Vigo,940.0,Claudio Giráldez,3-4-2-1,30500000.0,24.80343475826022,182.36363636363637,58.0,12.8,4.4,5.8,11.6,2.6,0.0,1.4329,1.3386979999999997,1.1900419999999998,13.085287356321842,6.4,33060000.0,26.97982701760936,180.94545454545454,65.8,11.75549150817181,4.129827337555899,5.78077113266212,12.16917283682937,2.6644315772075506,0.04396505142520502,1.4208877834603306,1.2192269502874187,1.1276045813062145,12.43176742189435,6.241892405343649,28037882.32593769,26.99046275192377,180.92614941320122,67.23522990425442,15.0,Real Betis,150.0,Manuel Pellegrini,4-2-3-1,33500000.0,28.617509800261338,181.0909090909091,237.0,12.8,4.6,4.4,11.6,1.6,0.0,1.3598,1.3763156,1.2276592000000002,14.164259259259257,7.2,84960000.0,28.585004044552296,181.1090909090909,219.6,13.891650446708056,4.891986276789454,4.42391178521179,10.632109592309046,1.5446534875597244,0.000892928331737881,1.560274894072113,1.5584926095749996,1.5045293502609265,14.788272319911869,8.118375375008831,72481585.19600998,28.566227096687783,181.15989236108155,197.99178768994884,7.0,0.0,-0.1999999999999993,1.3999999999999995,0.0,1.0,0.0,0.07310000000000016,-0.03761760000000036,-0.03761720000000035,1.0789719029374147,-0.7999999999999998,-2.136158938536246,2.356504898017519,-0.7621589392335544,1.3568593474503299,1.5370632445203238,1.1197780896478262,0.04307212309346714,-0.13938711061178233,-0.3392656592875809,-0.37692476895471194,-1.8764829696651821,-8.0,8.0,0.0,0.1999999999999993,1.3999999999999995,0.0,1.0,0.0,0.07310000000000016,0.03761760000000036,0.03761720000000035,1.0789719029374147,0.7999999999999998,0.3392656592875809,0.13938711061178233,2.136158938536246,2.356504898017519,0.37692476895471194,1.8764829696651821,1.3568593474503299,1.5370632445203238,1.1197780896478262,0.04307212309346714,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,6,19,12,51,2,10,27,7,1
H,2025-08-29,18:30,4645529.0,D,Elche,1531.0,Eder Sarabia,5-3-2,5500000.0,26.999937776118475,182.54545454545453,22.0,10.0,3.6,4.4,12.2,1.8,0.0,0.7902,0.9913342000000002,0.9913342000000002,9.606779560308972,4.0,18200000.0,28.07678426980275,182.22,21.8,8.851223119785134,2.9963755810823733,3.6336300414457328,11.503323471745281,1.9571391142020769,0.004870061885708104,0.7451199010344333,0.9309197731518887,0.9305155218588476,10.483147022886358,3.4792462603018692,15328318.376546798,27.771462862353555,182.32529717326346,20.56632188033198,12.0,Levante,3368.0,Julián Calero,5-4-1,2500000.0,27.860095824777552,177.5,141.0,12.0,4.2,2.6,12.0,3.2,0.0,1.2895,1.9116350000000004,1.762979,15.146557971014492,5.6,17820000.0,28.28464687947234,180.04000000000002,55.4,11.053947271756536,4.749824750998605,2.176224287871364,11.968327550504796,2.802519814036272,0.00047093960344933957,1.3876801360885604,2.111982400263189,1.773548534365567,15.40948204571547,4.826679338074789,13344353.231078895,28.25889229647294,179.87915908148284,47.91074139282733,17.0,-2.0,-0.6000000000000001,1.8000000000000003,0.1999999999999993,-1.4000000000000001,0.0,-0.4993000000000001,-0.9203008000000003,-0.7716447999999999,5.5397784107055195,-1.5999999999999996,-2.2027241519714025,4.926335022829111,-1.7534491699162316,1.4574057535743687,-0.4650040787595149,-0.8453806998341951,0.004399122282258765,-0.6425602350541272,-1.1810626271113005,-0.8430330125067195,-1.3474330777729198,5.0,5.0,2.0,0.6000000000000001,1.8000000000000003,0.1999999999999993,1.4000000000000001,0.0,0.4993000000000001,0.9203008000000003,0.7716447999999999,5.5397784107055195,1.5999999999999996,1.1810626271113005,0.6425602350541272,2.2027241519714025,4.926335022829111,0.8430330125067195,1.3474330777729198,1.4574057535743687,0.4650040787595149,0.8453806998341951,0.004399122282258765,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,8,15,17,44,23,24,8,16,2
H,2025-08-29,20:30,4645525.0,H,Valencia,1049.0,Carlos Corberán,4-2-3-1,44500000.0,26.75228672764607,182.8181818181818,94.0,9.4,2.0,4.6,10.0,2.0,0.2,0.92742,0.7593536000000001,0.7593536000000001,14.615714285714285,4.0,105300000.0,25.954576566486217,184.2,115.2,9.354244522516963,2.150016002934386,4.642341523705523,10.393331853340388,1.6371806704676726,0.33333510859707643,1.2230890125836114,0.9828122880482426,0.9175313347689177,15.005082176193861,4.905034011846931,90899045.21540515,26.26893985754873,183.61807230754877,107.85784150832872,14.0,Getafe,3709.0,José Bordalás,5-3-2,41300000.0,27.186858316221766,183.0,121.0,9.2,3.0,2.8,14.6,2.0,0.2,1.4610800000000002,1.0966619999999998,1.0966619999999998,15.527375128225362,4.4,49600000.0,27.8636052516956,183.96363636363634,113.0,9.418864552141601,3.749656407685871,3.109176297603708,17.391296612077607,2.218805500239635,0.20242314051361918,1.5457585678384576,1.1822536856996115,1.1819981570635238,14.734760953422331,4.3581771299985705,45449714.22648817,27.679298478363307,183.34139035935345,122.8373586015379,4.0,0.20000000000000107,-1.0,1.7999999999999998,-4.6,0.0,0.0,-0.5336600000000001,-0.33730839999999973,-0.33730839999999973,0.9116608425110773,-0.40000000000000036,-0.06462002962463842,-0.27032122277153015,-1.5996404047514852,1.5331652261018154,-6.9979647587372185,-0.5816248297719626,0.13091196808345726,-0.3226695552548462,-0.19944139765136892,-0.26446682229460616,0.5468568818483606,-10.0,10.0,0.20000000000000107,1.0,1.7999999999999998,4.6,0.0,0.0,0.5336600000000001,0.33730839999999973,0.33730839999999973,0.9116608425110773,0.40000000000000036,0.19944139765136892,0.3226695552548462,0.06462002962463842,0.27032122277153015,0.26446682229460616,0.5468568818483606,1.5331652261018154,6.9979647587372185,0.5816248297719626,0.13091196808345726,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,26,10,11,39,10,23,0,20,2
D,2025-08-30,16:00,4645527.0,D,Alaves,1108.0,Eduardo Coudet,4-4-2,25000000.0,27.779478563872814,181.54545454545453,26.0,13.0,4.6,7.0,17.4,2.2,0.0,1.6855600000000002,1.6051460000000002,1.1591777999999997,8.103756498057592,3.8,36900000.0,27.7765415966648,181.36363636363635,25.8,12.249816803019755,4.297090397672566,5.612232518245318,16.629386171206036,2.0888904136948354,0.012098067478175205,1.4374251294083058,1.467128771120647,1.231194785160955,8.135290155048258,2.7087004396312704,33808799.81119373,27.679029699168993,181.4829810440599,25.24418056313424,9.0,Atletico Madrid,13.0,Diego Simeone,4-4-2,315000000.0,27.132101300479125,182.63636363636363,380.0,15.2,7.4,6.6,11.8,1.2,0.0,2.23474,2.4729680000000003,2.4729680000000003,10.82718965975545,16.2,306300000.0,28.246506129052328,181.05454545454546,461.0,14.56839286568029,6.559192565760138,6.783551238452385,11.966201401016638,1.1015870177935685,0.0022210261737066776,2.1826695578010624,2.1034697065201162,2.0846781073307183,10.840460185687803,14.81598927211399,307861565.6002686,27.715391243620036,181.35420426290452,433.3391868369915,13.0,-2.1999999999999993,-2.8000000000000007,0.40000000000000036,5.599999999999998,1.0000000000000002,0.0,-0.5491799999999998,-0.8678220000000001,-1.3137902000000006,2.723433161697857,-12.399999999999999,-2.3185760626605347,2.705170030639545,-2.262102168087572,-1.1713187202070667,4.663184770189398,0.9873033959012669,0.009877041304468526,-0.7452444283927566,-0.6363409353994691,-0.8534833221697633,-12.10728883248272,4.0,4.0,2.1999999999999993,2.8000000000000007,0.40000000000000036,5.599999999999998,1.0000000000000002,0.0,0.5491799999999998,0.8678220000000001,1.3137902000000006,2.723433161697857,12.399999999999999,0.6363409353994691,0.7452444283927566,2.3185760626605347,2.705170030639545,0.8534833221697633,12.10728883248272,1.1713187202070667,4.663184770189398,0.9873033959012669,0.009877041304468526,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,-0.8660254037844384,-0.5000000000000004,0,3,18,16,18,18,2,5,1
