,home_team,away_team,Time,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTR,FTR,FTHG,FTAG,date,away_expected_points,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_expected_points,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions,game_id,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,referee,home_club_formation,away_club_formation,home_club_id,away_club_id,home_xi_market_value,home_xi_average_age,home_xi_average_height,home_xi_total_caps,away_xi_market_value,away_xi_average_age,away_xi_average_height,away_xi_total_caps
0,Athletic Club,Barcelona,20:00,11,11,5,2,3,8,14,9,1,1,0,0,D,H,1,0,2019-08-16,1.8714,1.03621,1.03621,0.5790810000000001,7.0625,5,0.7887,0.457129,0.457129,-0.5790810000000001,15.0,3,3208627.0,6.0,15.0,Gaizka Garitano,Ernesto Valverde,Carlos del Cerro Grande,4-2-3-1,4-3-3 Attacking,621.0,131.0,153000000.0,26.781158608674012,180.45454545454547,87.0,720000000.0,26.795594549187978,180.8181818181818,617.0
1,Celta Vigo,Real Madrid,16:00,7,17,4,11,6,4,17,12,5,2,0,1,A,A,1,3,2019-08-17,1.7477,1.99723,1.99723,0.48557,14.08695652173913,8,0.9905,1.51166,1.51166,-0.48557,11.36842105263158,5,3208619.0,19.0,1.0,Fran Escribá,Zinédine Zidane,Estrada Fernández,4-4-2,4-3-3 Attacking,940.0,418.0,121000000.0,25.334577810963847,178.36363636363637,175.0,510000000.0,28.524671769024952,182.9090909090909,628.0
2,Valencia,Real Sociedad,18:00,14,12,6,3,3,3,13,14,4,4,1,0,D,D,1,1,2019-08-17,0.9553,1.79528,1.05213,-0.5185500000000001,7.269230769230769,6,1.7859999999999998,2.31396,1.57068,0.5185500000000001,18.3,7,3208624.0,11.0,12.0,Marcelino,Imanol Alguacil,Jesús Gil Manzano,4-4-2 double 6,4-2-3-1,1049.0,681.0,263000000.0,28.576193142928254,180.9090909090909,185.0,218000000.0,25.2278016302657,182.27272727272728,206.0
3,Mallorca,Eibar,19:00,16,11,4,5,9,3,13,14,2,3,0,0,H,H,2,1,2019-08-17,0.6798,0.794158,0.794158,-0.894402,6.954545454545454,6,2.076,1.68856,1.68856,0.894402,15.176470588235292,3,3208620.0,4.0,13.0,Vicente Moreno,José Luis Mendilibar,Mario Melero López,4-3-1-2,4-4-2 double 6,237.0,1533.0,18600000.0,27.42082011075851,180.8181818181818,53.0,42100000.0,29.035156493062036,182.1818181818182,20.0
4,Leganes,Osasuna,20:00,13,4,2,2,8,0,17,11,1,4,1,0,D,A,0,1,2019-08-17,0.373,0.188265,0.188265,-1.079755,9.833333333333334,2,2.383,1.26802,1.26802,1.079755,6.423076923076923,7,3208626.0,17.0,8.0,Mauricio Pellegrino,Jagoba Arrasate,Javier Alberola Rojas,5-3-2,4-2-3-1,1244.0,331.0,59300000.0,27.629145666106652,180.36363636363637,288.0,20100000.0,27.414597722605937,179.9090909090909,58.0
5,Villarreal,Granada,20:00,12,14,7,7,2,7,10,16,3,1,0,0,D,D,4,4,2019-08-17,1.3907,1.96668,1.2234,0.0346600000000001,12.826086956521738,2,1.3313,1.93202,1.18874,-0.0346600000000001,8.434782608695652,6,3208628.0,9.0,10.0,Javier Calleja,Diego Martínez,Adrián Cordero Vega,4-2-3-1,4-2-3-1,1050.0,16795.0,113000000.0,27.547259038018794,180.36363636363637,308.0,16900000.0,28.053263642586025,183.1818181818182,5.0
6,Alaves,Levante,16:00,9,16,2,4,2,9,18,15,2,1,0,0,D,H,1,0,2019-08-18,1.4713,0.859231,0.859231,0.1750709999999999,4.913043478260869,3,1.1599,0.68416,0.68416,-0.1750709999999999,13.15,3,3208623.0,7.0,18.0,Asier Garitano,Paco López,César Soto Grado,4-1-4-1,4-4-2 Diamond,1108.0,3368.0,61000000.0,27.71526351813826,182.45454545454547,80.0,58500000.0,27.364071930807043,180.27272727272728,116.0
7,Espanyol,Sevilla,18:00,7,12,2,4,8,4,11,17,2,2,0,0,A,A,0,2,2019-08-18,2.9074,2.40044,2.40044,2.2545610000000003,11.130434782608695,6,0.0532,0.145879,0.145879,-2.2545610000000003,11.275862068965518,0,3208622.0,20.0,2.0,David Gallego,Julen Lopetegui,Juan Martínez Munuera,4-4-2,4-3-3 Attacking,714.0,368.0,77500000.0,28.189658390890425,180.0909090909091,9.0,126500000.0,28.466181320390763,180.8181818181818,194.0
8,Real Betis,Real Valladolid,20:00,13,14,4,3,6,1,11,19,2,6,1,0,D,A,1,2,2019-08-18,0.8815999999999999,0.736026,0.736026,-0.504004,8.133333333333333,2,1.8218,1.24003,1.24003,0.504004,23.818181818181817,3,3208625.0,14.0,3.0,Rubi,Sergio,Santiago Jaime Latre,4-2-3-1,4-4-2,150.0,366.0,187500000.0,28.21230788376579,184.0,138.0,43300000.0,28.883828013191465,180.0909090909091,29.0
9,Atletico Madrid,Getafe,21:00,5,6,5,0,3,4,19,22,3,4,1,1,H,H,1,0,2019-08-18,0.0974,0.333556,0.333556,-1.369944,11.571428571428571,2,2.8418,2.44678,1.7035,1.369944,6.894736842105263,5,3208621.0,5.0,16.0,Diego Simeone,Pepe Bordalás,Guillermo Cuadra Fernández,4-4-2 double 6,4-4-2 double 6,13.0,3709.0,655000000.0,25.35847178146973,181.0909090909091,643.0,95000000.0,28.920166760002488,182.45454545454547,195.0
10,Granada,Sevilla,19:00,12,11,0,6,6,6,13,14,1,1,0,0,D,A,0,1,2019-08-23,2.271,1.39211,1.39211,0.963778,7.541666666666667,3,0.4884,0.428332,0.428332,-0.963778,11.333333333333334,6,3208643.0,14.0,1.0,Diego Martínez,Julen Lopetegui,José María Sánchez Martínez,4-2-3-1,4-3-3 Attacking,16795.0,368.0,16900000.0,28.069690747308815,183.1818181818182,5.0,124500000.0,29.058552672515713,180.72727272727272,235.0
11,Levante,Villarreal,21:00,16,23,4,6,7,3,5,9,1,2,0,0,A,H,2,1,2019-08-23,1.8518,2.82602,2.82602,2.234877,11.0,9,0.9146,2.07744,0.591143,-2.234877,9.884615384615383,2,3208645.0,10.0,13.0,Paco López,Javier Calleja,José Luis Munuera Montero,4-3-3 Attacking,4-4-2 double 6,3368.0,1050.0,63500000.0,28.703876547819053,180.0909090909091,85.0,114500000.0,28.28647875054446,180.54545454545453,307.0
12,Celta Vigo,Valencia,20:00,11,9,6,1,6,4,8,12,1,2,0,0,H,H,1,0,2019-08-24,0.2722,0.675601,0.675601,-0.958149,10.689655172413794,11,2.593,2.37702,1.63375,0.958149,18.916666666666668,8,3208641.0,12.0,16.0,Fran Escribá,Marcelino,Alejandro Hernández Hernández,4-4-2,4-4-2,940.0,1049.0,126000000.0,25.307199303092524,178.0909090909091,191.0,269000000.0,28.02389397050588,182.63636363636363,192.0
13,Getafe,Athletic Club,20:00,6,4,2,2,4,6,15,11,2,1,0,0,D,D,1,1,2019-08-24,1.4973,0.454246,0.454246,0.1884349999999999,5.421052631578948,2,0.978,0.265811,0.265811,-0.1884349999999999,7.0,4,3208642.0,15.0,5.0,Pepe Bordalás,Gaizka Garitano,Mateu Lahoz,4-4-2,4-2-3-1,3709.0,621.0,107000000.0,28.023893970505878,182.0909090909091,237.0,155500000.0,27.593304710347834,181.0,85.0
14,Osasuna,Eibar,16:00,6,12,2,0,6,6,15,12,4,4,0,0,D,D,0,0,2019-08-24,1.1032,0.65217,0.65217,-0.2042629999999999,4.541666666666667,4,1.5364000000000002,0.856433,0.856433,0.2042629999999999,4.125,6,3208647.0,8.0,17.0,Jagoba Arrasate,José Luis Mendilibar,Medié Jiménez,4-4-2 double 6,4-4-2 double 6,331.0,1533.0,20400000.0,26.60469168066704,180.27272727272728,58.0,44000000.0,29.305208138883703,179.54545454545453,20.0
15,Real Madrid,Real Valladolid,18:00,22,9,4,2,4,3,12,11,2,2,0,0,D,D,1,1,2019-08-24,1.0106,1.22209,1.22209,-0.5058900000000002,18.944444444444443,2,1.7207,1.72798,1.72798,0.5058900000000002,7.72,13,3208648.0,3.0,4.0,Zinédine Zidane,Sergio,Pablo González Fuertes,4-3-3 Attacking,4-4-2,418.0,366.0,555000000.0,29.117540912202102,183.36363636363637,596.0,47300000.0,27.13359467363574,180.72727272727272,72.0
16,Alaves,Espanyol,16:00,10,5,2,1,3,5,13,10,3,1,0,0,D,D,0,0,2019-08-25,0.7070000000000001,0.159461,0.159461,-0.5164580000000001,8.722222222222221,1,1.8239,0.675919,0.675919,0.5164580000000001,14.851851851851851,5,3208639.0,7.0,18.0,Asier Garitano,David Gallego,Eduardo Prieto Iglesias,4-1-4-1,4-1-4-1,1108.0,714.0,46800000.0,27.63088793478937,180.36363636363637,21.0,87300000.0,27.15325742019787,179.63636363636363,14.0
